Status,Status,Commit Hash,Message,Notes,Problem
,,d84c9aa25d,build: Bump version to 0.20.99,,FALSE
,,6ab96ec546,Merge #18574: cli: call getbalances.ismine.trusted instead of getwalletinfo.balance,,FALSE
,,4eb1eeb02c,Merge #18504: build: Drop bitcoin-tx and bitcoin-wallet dependencies on libevent,,FALSE
,,1b30761360,Merge #16367: Multiprocess build support,,FALSE
,,99d6a5be8b,"Merge #17999: refactor: Add ChainClient setMockTime, getWallets methods",,FALSE
,,a9213bbe75,Merge #18422: [consensus] MOVEONLY: Move single-sig checking EvalScript code to EvalChecksig,,FALSE
,,10358a381a,"Merge #17737: Add ChainstateManager, remove BlockManager global",,FALSE
,,51e2ce45d6,Merge #17693: rpc: Add generateblock to mine a custom set of transactions,,FALSE
,,75917591c8,Merge #18586: build: Bump gitian descriptors to 0.21,,FALSE
,,3eb8b1c392,Merge #17905: gui: Avoid redundant tx status updates,,FALSE
,,a5623ba89f,"Merge #18588: Revert ""Merge #16367: Multiprocess build support""",,FALSE
,,ed3b8eada8,Merge #17595: guix: Enable building for `x86_64-w64-mingw32` target,,FALSE
,,76143bf714,Merge #18495: rpc: Remove deprecated migration code,,FALSE
,,59d6249290,Merge #18593: test: complete impl. of msg_merkleblock and wait_for_merkleblock,,FALSE
,,a2b282c9d0,Merge #18609: test: Remove REJECT message code,,FALSE
,,c49971f3c9,Merge #18584: test: Check that the version message does not leak the local address,,FALSE
,,4d26312c17,Merge #18597: test: Extend wallet_dump test to cover comments,,FALSE
,,d5783985eb,Merge #18502: doc: Update docs for getbalance (default minconf should be 0),,FALSE
,,d9fd7b5a67,Merge #18596: test: Try once more when RPC connection fails on Windows,,FALSE
,,e28e5353c4,Merge #18545: test: refactor rpc_signrawtransaction and add logging,,FALSE
,,130b64415f,"Merge #18493: rpc: Remove deprecated ""size"" from mempool txs",,FALSE
,,6ef45bc968,"Merge #18581: ci: Print ccache stats, add pip cache, and cleanups",,FALSE
