Status,Status,Commit Hash,Message,Notes,Problem
,,c9985c84f,build: Bump version to 0.18.99,,FALSE
,,e47d8a1b7,Merge #15514: docs: Update Transifex links,,FALSE
,,9e3122de0,Merge #15492: [rpc] remove deprecated generate method,,FALSE
Done (Merged to dashpay),,80112b17e,Merge #15296: tests: Add script checking for deterministic line coverage in unit tests,,FALSE
Done (Merged to dashpay),,849f37fa2,Merge #15338: ci: Build and run tests once on freebsd,,FALSE
,,789b0bbf2,Merge #15335: Fix lack of warning of unrecognized section names,,FALSE
,,2d46f1be0,Merge #15118: Refactor block file logic,,FALSE
,,57acfcb9f,Merge #15518: doc: Remove ppa from linux build instructions,,FALSE
,,45f434f44,Merge #15288: Remove wallet -> node global function calls,,FALSE
Done (Merged to dashpay),,14023c966,Merge #15479: test: Add .style.yapf,,FALSE
,,4b57b7f0f,Merge #15527: doc: Remove pr release notes file in wrong dir,,FALSE
,,3800ca606,"Merge #15513: docs: add ""sections"" info to example bitcoin.conf",,FALSE
,,a74d588f2,Merge #14954: build: Require python 3.5,,FALSE
,,d8a62db8b,Merge #15531: Suggested interfaces::Chain cleanups from #15288,,FALSE
Done (Merged to dashpay),,4952a9535,Merge #15534: [test] lint-format-strings: open files sequentially (fix for OS X),,FALSE
Done (Merged to dashpay),,df36ddf9c,Merge #15504: fuzz: Link BasicTestingSetup (shared with unit tests),,FALSE
,,3515612e0,Merge #15473: bench: Benchmark MempoolToJSON,,FALSE
,,726d0668f,Merge #15530: doc: Move wallet lock annotations to header,,FALSE
,,3db0cc394,Merge #15402: Granular invalidateblock and RewindBlockIndex,,FALSE
,,d211edb34,Merge #15464: gui: Drop unused return values in WalletFrame,,FALSE
,,923d87497,Merge #15528: contrib: Bump gitian descriptors for 0.19,,FALSE
,,efed9809b,Merge #15532: Remove sharp edge (uninit member) when using the compiler-generated ctor for BlockFilter,,FALSE
Done (Merged to dashpay),,12408d33c,Merge #15549: gitian: Improve error handling,,FALSE
Done (Merged to dashpay),,ff3814880,"Merge #15486: [addrman, net] Ensure tried collisions resolve, and allow feeler connections to existing outbound netgroups",,FALSE
,,6b2ee268b,Merge #15562: doc: remove duplicate clone step in build-windows.md,,FALSE
,,257f750cd,Merge #15565: doc: remove release note fragments,,FALSE
,,887f57eb7,Merge #15566: cli: replace testnet with chain and return network name as per BIP70.,,FALSE
,,c94852e79,Merge #15564: cli: remove duplicate wallet fields from -getinfo,,FALSE
Done (Merged to dashpay),,e5770677d,Merge #15548: build: use full version string in setup.exe,,FALSE
,,59b291966,Merge #15582: Fix overflow bug in analyzepsbt fee: CAmount instead of int,,FALSE
,,c3b1cb958,Merge #15573: dead code: Remove dead option in HexStr conversion,,FALSE
,,8e1704c01,Merge #15559: doc: correct analyzepsbt rpc doc,,FALSE
,,7fa1f6258,Merge #15583: wallet: Log and ignore errors in ListWalletDir and IsBerkeleyBtree,,FALSE
Done (Merged to dashpay),,b83c6f794,Merge #15444: [docs] Additional productivity tips,,FALSE
Done (Merged to dashpay),,d67f9d0db,Merge #15577: Docs: Enable TLS in link to chris.beams.io,,FALSE
Done (Merged to dashpay),,118a5c8d9,Merge #15580: depends: native_protobuf: avoid system zlib,,FALSE
,,cede01b41,Merge #15609: scripts and tools: Set 'distro' explicitly,,FALSE
,,165ea14ef,Merge #15604: [docs] release note for disabling reject messages by default,,FALSE
Done (Merged to dashpay),,2f501fb5c,Merge #15522: Document sizeof(size_t) assumptions and compiler assumptions in assumptions.h,,FALSE
,,85f003274,Merge #15611: Add Gitian key for droark,,FALSE
,,acbbb7bf0,Merge #15601: build: depends: Switch to python3 (take 3),,FALSE
Done (Merged to dashpay),,7ec7aea44,Merge #15491: wallet: Improve log output for errors during load,,FALSE
Done (Merged to dashpay),,27781b653,Merge #15466: tests: Print remaining jobs in test_runner.py,,FALSE
Done (Merged to dashpay),,2c336a9cc,Merge #15581: depends: Make less assumptions about build env,,FALSE
,,c033c4b5c,Merge #13541: wallet/rpc: sendrawtransaction maxfeerate,,FALSE
,,e45b7f20e,Merge #15618: refactor: Remove unused function,,FALSE
Done (Merged to dashpay),,81f732bca,Merge #15617: p2p: Do not relay banned IP addresses,,FALSE
,,93623eea7,Merge #15623: refactor: Expose UndoReadFromDisk in header,,FALSE
Done (Merged to dashpay),,bbc436e09,Merge #15626: Docs: Update ACK description in CONTRIBUTING.md,,FALSE
Done (Merged to dashpay),,b3f82284b,Merge #15597: net: Generate log entry when blocks messages are received unexpectedly,,FALSE
,,2607d960a,Merge #10973: Refactor: separate wallet from node,,FALSE
,,717fd58c4,Merge #15625: refactor: Remove unused function,,FALSE
,,abd914ed3,Merge #15614: gui: Defer removeAndDeleteWallet when no modal widget is active,,FALSE
,,68520597c,Merge #15631: qa: mininode: Clearer error message on invalid magic bytes,,FALSE
,,7b13c6464,Merge #15642: [rpc] Remove deprecated rpc warnings,,FALSE
Done (Merged to dashpay),,8a8b03ecd,Merge #15603: docs: Add more tips to productivity.md,,FALSE
,,e14cd04ab,Merge #15637: rpc: Rename size to vsize in mempool related calls,,FALSE
Done (Merged to dashpay),,208406038,Merge #15519: Add Poly1305 implementation,,FALSE
,,848ec5603,Merge #15643: contrib: gh-merge: Include ACKs in merge commit,,FALSE
,,656a15e53,Merge #15620: rpc: Uncouple non-wallet rpcs from maxTxFee global,,FALSE
,P_Staged (merged to Pasta local repo),3702e1c17,Merge #15646: [tests] Add test for wallet rebroadcasts,,FALSE
,,edb8df4fe,Merge #15682: release: Update the Windows Codesigning certificate,,FALSE
,,32e0428e3,Merge #15684: doc/dependencies: Fix typo libsrvg->librsvg,,FALSE
,,9e7dc682e,Merge #15616: rpc: Clarify decodescript RPCResult doc,,FALSE
Done (Merged to dashpay),,edc68d40e,Merge #15663: crypto: Remove unused AES-128 code,,FALSE
,,904129b35,Merge #15255: [tests] Remove travis_wait from lint script,,FALSE
,,dc5c2e440,Merge #15686: [tests] make pruning test faster,,FALSE
,,0baf4b1f9,Merge #15683: Comment for seemingly duplicate LIBBITCOIN_SERVER,,FALSE
Done (Merged to dashpay),,00ca24b68,Merge #15533: test: .style.yapf: Set column_limit=160,,FALSE
,,79c345a01,Merge #15669: rpc: Fix help text for signtransactionwithXXX,,FALSE
,,35477e9e4,Merge #15644: Make orphan processing interruptible,,FALSE
