Status,Status,Commit Hash,Message,Notes,Problem
,,132e1d897f,build: Bump master version to 0.21.99,,FALSE
,,4b24c3962f,Merge #19504: Bump minimum python version to 3.6,,FALSE
,,4ae04090bb,Merge bitcoin-core/gui#118: Remove BDB version from the Information tab,,FALSE
,,54532f46c4,Merge bitcoin-core/gui#109: wallet: Remove unused AskPassphraseDialog::Decrypt,,FALSE
,,a64ff1c4d3,Merge #19905: Remove dead CheckForkWarningConditionsOnNewFork,,FALSE
,,5bcae7967f,Merge #20408: CConnman: move initialization to declaration,,FALSE
,,d020e8839f,Merge #20418: doc: clean out release notes post branch-off,,FALSE
,,50e019a97a,Merge #20414: doc: Remove generated manual pages from master branch,,FALSE
,K_Staged (merged to Kitty local repo),ea7926527c,Merge #20413: build: Require C++17 compiler,,FALSE
,,cddcd22ab3,"Merge #20288: script, doc: contrib/seeds updates",,FALSE
,K_Staged (merged to Kitty local repo),888c22e0dd,Merge #20359: depends: Various config.site.in improvements and linting,,FALSE
,,47b6ad837c,Merge #20333: build: remove native_biplist dependency,,FALSE
Done (Merged to dashpay),,e12ad7f383,Merge #19968: doc: clarify CRollingBloomFilter size estimate,,FALSE
,P_Staged (merged to Pasta local repo),fbb2bee82d,Merge #20067: refactor: remove use of boost::algorithm::replace_first,,FALSE
,,1cc5e693c1,Merge #20358: src/randomenv.cpp: fix build on uclibc,,FALSE
,P_Staged (merged to Pasta local repo),d9180c50b6,Merge #20145: contrib: add getcoins.py script to get coins from (signet) faucet,,FALSE
,,9ab9665c74,Merge #15710: wallet: Catch ios_base::failure specifically,,FALSE
,,71d068db40,Merge #18531: rpc: remove deprecated CRPCCommand constructor,,FALSE
Done (Merged to dashpay),,7aa94569ce,"Merge #20024: init: Fix incorrect warning ""Reducing -maxconnections from N to N-1, because of system limitations""",,FALSE
,,c4d1e24f54,"Merge #20047: test: use wait_for_{block,header} helpers in p2p_fingerprint.py",,FALSE
,,884bde510e,Merge #20291: [net] Consolidate logic around calling CAddrMan::Connected(),,FALSE
,,848d66519c,"Merge #20054: Remove confusing and useless ""unexpected version"" warning",,FALSE
,,04670ef81e,Merge #20385: test: run mempool_spend_coinbase.py even with wallet disabled,,FALSE
,,db58b857f7,Merge #20329: docs/descriptors.md: Remove hardened marker in the path after xpub,,FALSE
